YEAR,FAC_NO,FAC_NAME,BEG_DATE,END_DATE,COUNTY_NAME,TYPE_CNTRL,PATIENT_DAYS,PRDHR_MGT,PRDHR_RN,PRDHR_LVN,PRDHR_NA,PRDHR_TSP,PRDHR_PSY,PRDHR_OTH
2015,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,44998,1470,22807,17457,91467,2827,0,1530
2014,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,44246,2080,34169,16499,128880,4378,0,2200
2013,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,42097,1929,31808,16755,117611,2087,0,2040
2012,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,43421,2400,31404,15734,104339,3242,0,2056
2011,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,42496,2251,32196,10999,112704,3853,0,1991
2015,206010744,ASHBY CARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,10922,2080,3782,6433,24877,0,0,0
2014,206010744,ASHBY CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,10274,2080,3554,3771,23449,0,0,0
2013,206010744,ASHBY CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,10935,2080,3475,4372,25224,0,0,0
2012,206010744,ASHBY CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,10924,2080,1698,5874,21701,0,0,0
2011,206010744,ASHBY CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,10536,2080,1973,6341,20384,0,0,0
2015,206010747,BANCROFT CONVALESCENT HOSPITAL,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,12365,2000,5330,12121,34708,0,0,0
2014,206010747,BANCROFT CONVALESCENT HOSPITAL,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,10960,2040,5125,12607,32436,0,0,0
2013,206010747,BANCROFT CONVALESCENT HOSPITAL,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,11237,1912,5961,12735,33999,0,0,0
2012,206010747,BANCROFT CONVALESCENT HOSPITAL,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,11566,2000,6361,12151,35715,0,0,0
2011,206010747,BANCROFT CONVALESCENT HOSPITAL,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,11546,2000,5283,13563,35360,0,0,0
2015,206010749,ST. FRANCIS EXTENDED CARE,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,22063,1848,10117,13909,55434,0,0,0
2014,206010749,ST. FRANCIS EXTENDED CARE,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,21907,1848,9903,13289,52546,0,0,0
2013,206010749,ST. FRANCIS EXTENDED CARE,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,21336,1945,9594,12745,52469,0,0,0
2012,206010749,ST. FRANCIS EXTENDED CARE,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,21261,1936,8546,14247,51650,0,0,0
2011,206010749,ST. FRANCIS EXTENDED CARE,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,21218,1931,5077,15796,51807,0,0,0
2015,206010750,HILLTOP CARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,22642,2010,6685,19847,51684,0,0,0
2014,206010750,HILLTOP CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,22970,1908,12122,16619,53540,0,0,0
2013,206010750,HILLTOP CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,22984,3280,14438,8955,53469,0,0,0
2012,206010750,HILLTOP CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,23376,1949,13476,11911,54660,0,0,0
2011,206010750,HILLTOP CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,24073,1936,12905,10624,55755,0,0,0
2015,206010757,BERKELEY PINES SKILLED NURSING CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,12229,2040,1799,11259,32711,0,0,0
2014,206010757,BERKELEY PINES SKILLED NURSING CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,12846,2016,2425,9627,33304,0,0,0
2013,206010757,BERKELEY PINES SKILLED NURSING CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,12705,1953,4058,9713,31313,0,0,0
2012,206010757,BERKELEY PINES SKILLED NURSING CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,12844,1972,4929,9417,32308,0,0,0
2011,206010757,BERKELEY PINES SKILLED NURSING CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,12718,1800,1910,10896,31906,0,0,0
2015,206010760,BETHESDA HOME,06/01/2014 12:00:00 AM,05/31/2015 12:00:00 AM,Alameda,Not-for-Profit,14486,1744,5445,8235,36085,0,0,0
2014,206010760,BETHESDA HOME,06/01/2013 12:00:00 AM,05/31/2014 12:00:00 AM,Alameda,Not-for-Profit,14484,1648,5553,8509,38139,0,0,0
2013,206010760,BETHESDA HOME,06/01/2012 12:00:00 AM,05/31/2013 12:00:00 AM,Alameda,Not-for-Profit,14491,1848,5513,8826,37973,0,0,0
2012,206010760,BETHESDA HOME,06/01/2011 12:00:00 AM,05/31/2012 12:00:00 AM,Alameda,Not-for-Profit,14444,1792,5452,8502,37929,0,0,0
2011,206010760,BETHESDA HOME,06/01/2010 12:00:00 AM,05/31/2011 12:00:00 AM,Alameda,Not-for-Profit,14446,1816,5182,8763,38117,0,0,0
2015,206010770,PROVIDENCE VALLEY POINTE,03/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,12962,541,4603,14705,30064,0,0,379
2014,206010770,PROVIDENCE VALLEY POINTE,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,15948,1929,4171,12165,37555,0,0,1232
2013,206010770,PROVIDENCE VALLEY POINTE,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,15480,2080,7654,9097,37295,0,0,1314
2012,206010770,PROVIDENCE VALLEY POINTE,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,15639,2088,7277,8422,38111,0,0,1715
2011,206010770,PROVIDENCE VALLEY POINTE,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,16748,2088,5715,9016,39290,0,0,1774
2015,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,01/01/2015 12:00:00 AM,11/02/2015 12:00:00 AM,Alameda,Investor Owned,22293,1183,6498,19245,50461,0,0,2761
2014,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,26426,2049,12322,15321,62373,0,0,3567
2013,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,26733,1937,15268,12847,60163,0,0,1634
2012,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,25172,2783,13436,11688,56233,0,0,1875
2011,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,26703,1425,15468,12449,56694,0,0,3461
2015,206010797,FREMONT HEALTHCARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,39163,1898,20394,29291,84666,0,0,1386
2014,206010797,FREMONT HEALTHCARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,39446,2016,21759,26801,83294,0,0,3966
2013,206010797,FREMONT HEALTHCARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,37915,2029,27309,22888,83135,0,0,2037
2012,206010797,FREMONT HEALTHCARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Alameda,Investor Owned,38212,2034,25865,22227,80387,0,0,1984
2011,206010797,FREMONT HEALTHCARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Alameda,Investor Owned,38802,1841,25685,21566,83126,0,0,2122
2015,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Alameda,Investor Owned,29813,1946,12585,23303,65253,0,0,2131
2014,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Alameda,Investor Owned,29633,1916,20907,17934,63378,0,0,0
2013,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Alameda,Investor Owned,30008,1913,26354,10158,69260,0,0,2102
